station,lat,lon,zone
Rectory Road,51.55876348,-0.068385665,2
Redbridge,51.57636692,0.045394044,4
Reedham,51.33144171,-0.123402624,6
Reeves Corner,51.3752772,-0.106379778,"3,4,5,6"
Regents Park,51.52381067,-0.145344411,1
Richmond,51.46323289,-0.301739134,4
Rickmansworth,51.64032301,-0.473684584,7
Riddlesdown,51.33267483,-0.099493667,6
Roding Valley,51.61695645,0.044026207,4
Romford,51.57464159,0.183055272,6
Rotherhithe,51.5015945,-0.052966296,2
Royal Albert,51.50849387,0.045177145,3
Royal Oak,51.51829435,-0.188823674,2
Royal Victoria,51.50905524,0.017965413,3
Ruislip,51.57216192,-0.421234926,6
Ruislip Gardens,51.55996018,-0.409294111,5
Ruislip Manor,51.57345157,-0.412849354,6
Russell Square,51.52301304,-0.124590198,1
Sanderstead,51.34824625,-0.0937085,6
Sandilands,51.37502227,-0.07802659,"3,4,5,6"
Selhurst,51.39218577,-0.089899037,4
Seven Kings,51.56399335,0.096319575,4
Seven Sisters,51.58336216,-0.072466823,3
Shadwell DLR,51.51130016,-0.056919207,2
Shenfield,51.6308731,0.329952264,7
Shepherd's Bush,51.50453215,-0.218519159,2
Shepherd's Bush Market,51.50588071,-0.227400493,2
Shoreditch High Street,51.52346682,-0.077087425,1
Shortlands,51.40560237,0.002767544,4
Sidcup,51.43439846,0.103315359,5
Silver Street,51.61524248,-0.072589742,4
Slade Green,51.46774766,0.190518388,6
Sloane Square,51.49235976,-0.156488857,1
Smitham,51.32245295,-0.134347057,6
Snaresbrook,51.58089127,0.021463928,4
South Acton,51.49968583,-0.270215208,3
South Bermondsey,51.48767662,-0.054754821,2
South Croydon,51.3627502,-0.092517363,5
South Ealing,51.50164402,-0.307040245,3
South Hampstead,51.54147685,-0.1783712,2
South Harrow,51.56468017,-0.351893971,5
South Kensington,51.49407137,-0.173923023,1
South Kenton,51.57104445,-0.308142977,4
South Merton,51.40324056,-0.205550301,4
South Quay,51.50086361,-0.018460693,2
South Ruislip,51.5568903,-0.39911591,5
South Tottenham,51.58040259,-0.071855957,3
South Wimbledon,51.41536071,-0.191974546,"3,4"
South Woodford,51.59155262,0.027943078,4
Southall,51.50595691,-0.37871119,4
Southbury,51.64843373,-0.052983311,5
Southfields,51.44488331,-0.206609386,3
Southgate,51.63237585,-0.127770047,4
Southwark,51.50385362,-0.10579494,1
St Helier,51.38991216,-0.199014592,4
St James Street,51.58060866,-0.032804562,3
St Johns,51.46897529,-0.023240662,2
St Margarets,51.45520599,-0.321324248,4
St Mary Cray,51.39475941,0.1072179,6
St Pancras,51.5305544,-0.125505782,1
St. James's Park,51.49960979,-0.133878755,1
St. Johns Wood,51.53485441,-0.17406484,2
St. Pauls,51.5148353,-0.097571001,1
Stamford Brook,51.49444997,-0.24524631,2
Stamford Hill,51.5744476,-0.076668342,3
Stanmore,51.61967344,-0.303099293,5
Star Lane,51.52060425,0.004191003,3
Stepney Green,51.52199583,-0.047382523,2
Stockwell,51.47215926,-0.122846304,2
Stoke Newington,51.56463761,-0.072335395,2
Stonebridge Park,51.54398655,-0.275400442,3
Stoneleigh,51.36336405,-0.248709657,5
Stratford,51.54169258,-0.003751641,3
Stratford High Street,51.53814895,-0.001080356,3
Stratford International,51.54480853,-0.008778434,3
Strawberry Hill,51.43974783,-0.339617731,5
Streatham,51.42584586,-0.132325497,3
Streatham Common,51.41898467,-0.135726165,3
Streatham Hill,51.43846037,-0.127681481,3
Sudbury and Harrow Road,51.55449378,-0.315926242,4
Sudbury Hill,51.55733956,-0.336392115,4
Sudbury Hill Harrow,51.55834227,-0.335446693,4
Sudbury Town,51.55139744,-0.316343486,4
Sundridge Park,51.4133938,0.020365109,4
Surbiton,51.39259953,-0.30438456,6
Surrey Quays,51.49326686,-0.047529988,2
